STATION CODE,LOCATIONS,STATE,year,ph,Hardness,Solids,Chloramines,Sulfate,Organic_carbon,Trihalomethanes,Turbidity,Potability
1393,"DAMANGANGA AT D/S OF MADHUBAN, DAMAN",DAMAN & DIU,2014,,204.890455471336,20791.318980747,7.30021187318475,368.516441349803,10.3797830780847,86.9909704615088,2.96313538063164,0
1399,"ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANAL JOINS, GOA",GOA,2014,3.71608007538699,129.422920514944,18630.0578579703,6.635245883862,,15.1800131163572,56.3290762845176,4.5006562749424,0
1475,ZUARI AT PANCHAWADI,GOA,2014,8.09912418929839,224.236259393557,19909.5417322923,9.27588360269408,,16.8686369295509,66.4200925117636,3.05593374966416,0
3181,RIVER ZUARI AT BORIM BRIDGE,GOA,2014,8.31676588421467,214.373394085622,22018.4174407752,8.05933237743854,356.886135643056,18.4365244954933,100.34167436508,4.62877053683708,0
3182,RIVER ZUARI AT MARCAIM JETTY,GOA,2014,9.09222345629096,181.101509236125,17978.9863389262,6.54659997420794,310.135737524204,11.5582794434463,31.9979927274247,4.07507542543003,0
1400,"MANDOVI AT NEGHBOURHOOD OF PANAJI, GOA",GOA,2014,5.58408663845608,188.313323769616,28748.6877390461,7.54486878877965,326.678362911673,8.39973464015275,54.9178618419944,2.55970822755652,0
1476,"MANDOVI AT TONCA, MARCELA, GOA",GOA,2014,10.2238621645287,248.071735270139,28749.7165435282,7.5134084658313,393.663395515096,13.7896953175198,84.6035561740235,2.67298873693477,0
3185,RIVER MANDOVI AT AMONA BRIDGE,GOA,2014,8.63584871850073,203.36152258457,13672.0917639016,4.5630086855997,303.309771159281,12.3638166987052,62.7983089629251,4.40142471544548,0
3186,RIVER MANDOVI AT IFFI JETTY,GOA,2014,,118.988579090251,14285.5838542245,7.80417355307309,268.646940746221,12.7060489686579,53.9288457675122,3.59501718095761,0
3187,RIVER MANDOVI NEAR HOTEL MARRIOT,GOA,2014,11.1802844707215,227.231469237974,25484.5084909878,9.07720001691439,404.041634684089,17.927806411285,71.9766010322191,4.37056193665549,0
1543,"RIVER KALNA AT CHANDELNAN PERNEM, GOA",GOA,2014,7.36064010583825,165.520797259528,32452.6144091438,7.55070090670411,326.624353455601,15.5868104380331,78.7400156643047,3.66229178285245,0
1548,"RIVER ASSONORA AT ASSONORA, GOA",GOA,2014,7.97452164892386,218.693300488666,18767.6566818134,8.11038450112387,,14.5257456975932,76.4859111796515,4.01171810833978,0
2276,"RIVER BICHOLIM VARAZAN NAGAR , BICHOLIM",GOA,2014,7.11982438426455,156.704993340392,18730.8136533427,3.60603609050572,282.34405047396,15.9295359088256,79.5007783369744,3.44575622332189,0
2275,"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",GOA,2014,,150.174923395136,27331.3619619277,6.8382234706875,299.415781346858,19.3708071812321,76.5099955279583,4.4139741829749,0
3189,RIVER CHAPORA AT SIOLIM,GOA,2014,7.49623220797336,205.344982158185,28388.0048867369,5.07255777384063,,13.2283110992245,70.3002126469243,4.77738233722537,0
1546,"RIVER KHANDEPAR AT OPA NAN PONDA, GOA",GOA,2014,6.34727176053931,186.732880660576,41065.2347645393,9.62959627648058,364.48768724676,11.5397811915394,75.0716172866377,4.37634829069189,0
2270,"RIVER KHANDEPAR AT CODLI NEAR BRIDGE ,U/S OPA WATERWORKS,SANGUEM",GOA,2014,7.05178580001684,211.049406060545,30980.6007867888,10.0947960116614,,20.3970218407224,56.6516037897933,4.26842885750618,0
2272,"RIVER KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",GOA,2014,9.18156000715153,273.8138066598,24041.3262800612,6.90498972647009,398.350516822277,13.3873407802255,71.4573622129516,4.50366079617912,0
1545,"RIVER MADAI AT DABOS NAN  VALPOI, GOA",GOA,2014,8.97546434753396,279.357166770092,19460.3981312321,6.20432085889247,,12.8887590543039,63.8212370966639,2.43608559030527,0
2274,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSANANPANAJI,GOA,2014,7.37105030242953,214.496610457156,25630.3200369997,4.43266929037212,335.754438596065,12.5091639404986,62.7972771526612,2.56029914761491,0
